generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag
Cefotaxime,General,0.0,999.0,0.0,9.0,2000.0,0.0,0.0,0.0,IV,Normal
Cefoxitin,General,0.0,999.0,30.0,50.0,6000.0,0.0,0.0,0.0,IV,Normal
Cefoxitin,General,0.0,999.0,10.0,29.0,4000.0,0.0,0.0,0.0,IV,Normal
Cefoxitin,General,0.0,999.0,5.0,9.0,2000.0,0.0,0.0,0.0,IV,Normal
Cefoxitin,General,0.0,999.0,0.0,4.0,1000.0,0.0,0.0,0.0,IV,Normal
Cefpirome,General,0.0,999.0,21.0,50.0,2000.0,0.0,0.0,0.0,IV,Normal
Cefpirome,General,0.0,999.0,0.0,20.0,1000.0,0.0,0.0,0.0,IV,Normal
Cefpodoxime,General,0.0,999.0,0.0,29.0,400.0,0.0,0.0,0.0,PO,Normal
Cefpodoxime  + Clavulanic Acid,General,0.0,999.0,0.0,29.0,400.0,0.0,0.0,0.0,PO,Normal
Cefprozil,General,0.0,999.0,0.0,29.0,500.0,0.0,0.0,0.0,PO,Normal
Ceftazidime,General,0.0,999.0,31.0,50.0,4000.0,0.0,0.0,0.0,IV,Normal
Ceftazidime,General,0.0,999.0,16.0,30.0,2000.0,0.0,0.0,0.0,IV,Normal
Ceftazidime,General,0.0,999.0,0.0,15.0,1000.0,0.0,0.0,0.0,IV,Normal
Ceftibuten,General,0.0,999.0,30.0,49.0,200.0,0.0,0.0,0.0,PO,Normal
Ceftibuten,General,0.0,999.0,5.0,29.0,100.0,0.0,0.0,0.0,PO,Normal
Ceftriaxone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Cefuroxime,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal
Cefuroxime,General,0.0,999.0,10.0,30.0,500.0,0.0,0.0,0.0,PO,Normal
Cefuroxime,General,0.0,999.0,0.0,9.0,750.0,0.0,0.0,0.0,IV,Normal
Cefuroxime,General,0.0,999.0,10.0,19.0,1500.0,0.0,0.0,0.0,IV,Normal
Cefuroxime,General,0.0,999.0,20.0,89.0,4500.0,0.0,0.0,0.0,IV,Normal
