generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag,route_label,route_PO,route_IM,route_IV,flag_label,min_crcl_minmax,max_crcl_minmax,max_dose_dd_mg_minmax,max_dose_dw_mg_minmax
Benzyl Penicillin,General,0.0,999.0,60.0,89.0,14400.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.8571428571428571,0.08542713567839195,1.0,0.0
Benzyl Penicillin,General,0.0,999.0,40.0,59.0,7200.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.5714285714285714,0.05527638190954774,0.5,0.0
Benzyl Penicillin,General,0.0,999.0,20.0,39.0,5400.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.2857142857142857,0.035175879396984924,0.375,0.0
Benzyl Penicillin,General,0.0,999.0,10.0,19.0,3600.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.01507537688442211,0.25,0.0
Benzyl Penicillin,General,0.0,999.0,0.0,9.0,2400.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.16666666666666666,0.0
Cefaclor,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Cefadroxil,General,0.0,999.0,25.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.35714285714285715,0.04623115577889447,0.06944444444444445,0.0
Cefadroxil,General,0.0,999.0,10.0,24.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.14285714285714285,0.020100502512562814,0.034722222222222224,0.0
Cefadroxil,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.017361111111111112,0.0
Cefazolin,General,0.0,999.0,35.0,54.0,6000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.5,0.05025125628140704,0.4166666666666667,0.0
Cefazolin,General,0.0,999.0,11.0,34.0,3000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.15714285714285714,0.03015075376884422,0.20833333333333334,0.0
Cefazolin,General,0.0,999.0,0.0,10.0,1000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.006030150753768844,0.06944444444444445,0.0
Cefazolin,General,0.0,999.0,35.0,54.0,6000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.5,0.05025125628140704,0.4166666666666667,0.0
Cefazolin,General,0.0,999.0,11.0,34.0,3000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.15714285714285714,0.03015075376884422,0.20833333333333334,0.0
Cefazolin,General,0.0,999.0,0.0,10.0,1000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.0,0.006030150753768844,0.06944444444444445,0.0
Cefdinir,General,0.0,999.0,0.0,29.0,300.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.02512562814070352,0.020833333333333332,0.0
Cefditoren,General,0.0,999.0,30.0,49.0,400.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.04522613065326633,0.027777777777777776,0.0
